,date_time,location,name,text
118,Thu Sep 10 16:01:43 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Solving the refugee crisis: treating the source is more than ending conflict, it's addressing climate change  http://t.co/C89coWBEKr"
119,Thu Sep 10 13:32:10 +0000 2015,Rhode Island,Hillary Rodham Clinton,I support raising min. wage but we need more debate on a tax code that better helps low wage workers. #GetGrounded http://t.co/dSzPC7oDKp
120,Wed Sep 09 22:38:05 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Ready to meet Democrats in Sandown, NH #chafee2016 #nhpolitics http://t.co/SBsjzpksNz"
121,Wed Sep 09 22:00:20 +0000 2015,Rhode Island,Hillary Rodham Clinton,Hear my plan for Prosperity through Peace at @rcdcnh Presidential Candidate Forum at Sandown Town Hall 7pm tonight. #nhpolitics #chafee2016
122,Wed Sep 09 19:00:43 +0000 2015,Rhode Island,Hillary Rodham Clinton,Republicans try once again to undermine American leadership internationally &amp; endanger the whole world. #Chafee2016 http://t.co/0XyxYO1yyb
123,Wed Sep 09 15:59:03 +0000 2015,Rhode Island,Hillary Rodham Clinton,I approve. Merkel calls for mandatory but fair quotas for refugee resettlement. This burden rests with us all.  http://t.co/zy1sbNR8rc
124,Wed Sep 09 13:01:59 +0000 2015,Rhode Island,Hillary Rodham Clinton,Don't like widening gulf with Russia re: Syrian war.  @Potus and Putin should talk. #GetGrounded #chafee2016 http://t.co/qMqSBPxrW4
125,Tue Sep 08 22:00:48 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Colin Powell speaks sense about #irandeal. Verification, not trust. Reagan said ""trust but verify"" w/ Soviet Union. http://t.co/FV0DQ7R1Vi"
126,Tue Sep 08 18:57:53 +0000 2015,Rhode Island,Hillary Rodham Clinton,“@Davos: The case for fusion energy http://t.co/Z2q3MxF8Jx http://t.co/CbtxGZaZey”We must explore all energy to save world for our children
127,Tue Sep 08 16:01:12 +0000 2015,Rhode Island,Hillary Rodham Clinton,"We should spend our remaining carbon budget on transitioning to a clean economy, not continuing our wasteful one.  http://t.co/m1k3hOLyD7"
